gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,id_student,address,Year,Age
Male,group A,high school,standard,completed,67,67,63,1000,,2023,14.0
Female,group D,some high school,free/reduced,none,40,29,55,1001,,2023,17.0
Male,group E,some college,free/reduced,none,59,60,50,1002,,2023,14.0
Male,group B,high school,standard,none,77,78,68,1003,,2023,17.0
Male,group E,associate's degree,standard,completed,78,73,68,1004,,2023,16.0
Female,group D,high school,standard,none,63,77,76,1005,,2023,16.0
Female,group A,bachelor's degree,standard,none,62,59,63,1006,,2023,14.0
Male,group E,some college,standard,completed,93,88,100,1007,,2023,17.0
Male,group D,high school,standard,none,63,56,65,1008,,2023,15.0
Male,group C,some college,free/reduced,none,47,42,45,1009,,2023,16.0
Male,group E,some college,standard,completed,99,83,100,1010,,2023,15.0
Female,group D,high school,standard,completed,120,87,100,1011,,2023,16.0
Male,group D,associate's degree,standard,completed,77,87,100,1012,,1990,
Male,group C,high school,standard,completed,74,74,73,1013,,2023,17.0
Male,group E,some high school,standard,completed,81,87,100,1014,,2023,15.0
Male,group E,associate's degree,free/reduced,none,69,61,57,1015,,2023,15.0
Male,group B,high school,standard,none,58,47,42,1016,,2023,15.0
Female,group C,associate's degree,standard,completed,54,62,65,1017,,2023,17.0
Female,group C,associate's degree,free/reduced,none,23,44,44,1018,,2023,17.0
Male,group C,some college,free/reduced,none,39,32,31,1019,,2023,15.0
Female,group C,associate's degree,standard,none,83,76,100,1020,,2023,16.0
Male,group C,associate's degree,standard,none,58,52,55,1021,,2023,
Male,group B,some college,standard,completed,71,69,73,1022,,2023,15.0
Female,group B,some college,free/reduced,none,44,55,54,1023,,2023,15.0
Male,group E,some high school,free/reduced,none,46,19,32,1024,,2023,
Male,group C,high school,free/reduced,none,51,45,42,1025,,2023,16.0
Female,group C,some high school,standard,none,53,30,56,1026,,2023,16.0
Male,group E,high school,standard,none,71,68,60,1027,,1990,17.0
Female,group B,high school,standard,completed,74,89,100,1028,,2023,15.0
Female,group A,some high school,free/reduced,none,33,27,51,1029,,2023,15.0
Male,group B,some college,standard,none,87,79,77,1030,,2023,
Male,group A,bachelor's degree,free/reduced,none,78,74,73,1031,,2023,15.0
Male,group A,some high school,free/reduced,completed,40,41,39,1032,,2023,17.0
Female,group B,associate's degree,standard,completed,65,65,71,1033,,2023,16.0
Female,group B,bachelor's degree,standard,completed,79,88,100,1034,,2023,16.0
Female,group A,bachelor's degree,standard,none,68,74,74,1035,,2023,17.0
Female,group C,some college,standard,completed,57,77,75,1036,,2023,14.0
Male,group B,high school,free/reduced,none,67,65,54,1037,,2023,15.0
Female,group B,some college,free/reduced,completed,58,68,73,1038,,2023,17.0
