Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Constable,Darius Quimby,,1791-01-03,Monday,Stabbed,"Albany County Constable's Office, New York",New York,,,Edged weapon; Knife,Executed in 1791,"Constable Darius Quimby was stabbed to death while attempting to arrest a man on a trespassing warrant.The suspect was found guilty of murdering Constable Quimby in the July 1791 session of the New York State Supreme Court and was hanged on August 26, 1791.Constable Quimby is the first known law enforcement officer to be killed in the line of duty in the United States."
Sheriff,Cornelius Hogeboom,53.0,1791-10-22,Saturday,Gunfire,"Columbia County Sheriff's Office, New York",New York,2 years,,Gun; Unknown type,Acquitted,"Sheriff Cornelius Hogeboom was shot and killed while serving a writ of ejectment. He was ambushed and shot by a group of men who were disguised as Indians.Then suspects were arrested and charged with Sheriff Hogeboom's murder but all were acquitted.Sheriff Hogeboom had served with the Columbia County Sheriff's Office for two years and was a veteran of the American Revolutionary War. He was survived by his wife and is buried in Ghent Union Cemetery, Ghent, Columbia County, New York."
Deputy Sheriff,Isaac Smith,,1792-05-17,Thursday,Gunfire,"Westchester County Sheriff's Department, New York",New York,,,Handgun,Executed in 1793,"Deputy Sheriff Isaac Smith was shot and killed while attempting to serve a writ on a subject outside of a tavern at Delancey's Mill in the Bronx.As Deputy Smith attempted to arrest him he was shot. The subject, who was a well-known British loyalist, fled to Canada but was eventually caught and hung on October 2nd, 1793.Deputy Smith was survived by his wife and two children."
Marshal,Robert Forsyth,40.0,1794-01-11,Saturday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,"4 years, 4 months",4,Handgun; Pistol,Escaped,"Marshal Robert Forsyth, believed to be one of the first U.S. Marshals killed in the line of duty, was shot and killed while he attempted to serve civil papers on a man. The suspect and his brother had holed up in an upstairs bedroom. As Marshal Forsyth attempted to gain access to the room, the man told him not to come any closer. At the same time, the suspect fired a shot through an opening in the door, fatally wounding Marshal Forsyth.After being arrested, the man twice escaped from jail, fled the state, and was never recaptured. One of the brothers died in Kentucky in 1817, and the second died in Georgia in 1826.Marshal Forsyth, who served in the American Revolutionary War, had been with the agency for more than four years after being named one of the first 13 marshals by George Washington.  He was survived by his wife and two sons, the younger of whom became Secretary of State for Foreign Affairs in the governments of two presidents and whose work included the purchase of Florida from the Spanish.Marshal Forsyth is buried in Saint Paul's Episcopal Church Cemetery, Augusta, Richmond County, Georgia."
Deputy Sheriff,Robert Berwick,,1797-06-29,Thursday,Gunfire,"New York County Sheriff's Office, New York",New York,,,Handgun,Executed in 1797,"Deputy Sheriff Robert Berwick was shot and killed while attempting to serve a writ on a subject on Broadway near St. Paul's Church.As Deputy Berwick walked with the prisoner to jail the man suddenly pulled out a pistol and shot him in the chest. The man ran to towards Barclay Street where he handed two pistols to another citizen who ran from his house upon hearing the gunshot.The man was convicted of Deputy Berwick's murder and executed on August 17th, 1797.Deputy Berwick was survived by his wife."
Sheriff,Robert Maxwell,45.0,1797-11-12,Sunday,Gunfire,"Washington District Sheriff's Office, South Carolina",South Carolina,,,Gun; Unknown type,Acquitted,"Sheriff Robert Maxwell was shot and killed after being ambushed while on his way to court in Pickensville, South Carolina.He was riding his horse and attempting to cross the Saluda River, near where the modern-day Piedmont Mill Dam is located. The suspects ambushed him because he was a law enforcement officer. One man was arrested but acquitted at trial.Sheriff Maxwell was a veteran of the Revolutionary War. He was survived by his wife and son and is buried in the Maxwell family cemetery, on what was his plantation near Ware Place, Greenville County, South Carolina.Washington District consisted of what later became Pendleton County, Greenville County, Anderson County, and Pickens County."
Superintendent,Hilary Baker,52.0,1798-09-25,Tuesday,Duty related illness,"Philadelphia Police Department, Pennsylvania",Pennsylvania,"1 year, 4 months",SUPERINTEN,,,"Superindentent Hilary Baker died as a result of contracting yellow fever during an outbreak in the city. As the citizens fled the city due to the outbreak Superintendent Baker stayed to assist the watchmen he was in charge of and gave aide to those affected. While doing so he became ill and contracted the disease.While acting as Superintendent he also served as mayor of the city of Philadelphia. While acting as mayor, Superindentent Baker was tasked by the city council to appoint a police force to protect the city from vandalism and looting. He created the city's first paid, uniformed watch through an Act of Assembly on May 22nd, 1797. He originally appointed 20 watchmen for day patrols and 15 for the night.He was originally buried at Zion Church at Eighth and Race Streets, which is now the current location of Philadelphia Police Department headquarters. He was reinterred at Laurel Hill CemeterySuperintendent Baker was a Continental Army veteran of the Revolutionary War. He had served with the Philadelphia Police Department for less than one 1-1/2 years. He was survived by his wife and five children."
High Sheriff,John Caldwell Cook,74.0,1804-10-16,Tuesday,Gunfire,"Mecklenburg County Sheriff's Office, North Carolina",North Carolina,10 months,,Gun; Unknown type,,High Sheriff John Cook was shot in the head and killed while discharging his duties as sheriff.The subject who shot him was believed to have fled to Tennessee.Sheriff Cook had served as sheriff for only 10 months. He was survived by his wife and son.
Watchman,Christian Luswanger,,1806-12-25,Thursday,Stabbed,"New York City Night Watch, New York",New York,,,Edged weapon; Knife,,Watchman Luswanger was stabbed to death while assigned to a detail to maintain order in lower Manhattan following two nights of anti-Catholic riots.  
Deputy Sheriff,John A. Gooch,,1807-03-07,Saturday,Gunfire,"Livingston County Sheriff's Department, Kentucky",Kentucky,2 years,,Handgun,,Deputy Sheriff John Gooch was shot and killed by a drunk man.The man who shot him fled the county and was never apprehended. The man's brother was convicted of manslaughter and a second accomplice was acquitted.Deputy Gooch had served with the Livingston County Sheriff's Office for two years. He was survived by his wife and son.
